Sectorizacion;Sector;Volumen;Ruta;
R5B;GCCCOCE;OCE;Canarias Ruta;
R5B;GCCCRCE;RCE;Canarias Ruta;
R5B;GCCCRNE;RNE;Canarias Ruta;
R4H;GCCCNWW;RNW;Canarias Ruta;
R4H;GCCCNWW;RWW;Canarias Ruta;
R4H;GCCCNWW;RWW;Canarias Ruta;
R4H;GCCCNWW;RNW;Canarias Ruta;
R4H;GCCCOCE;OCE;Canarias Ruta;
R4H;GCCCOCE;OCE;Canarias Ruta;
R4H;GCCCRCW;RCW;Canarias Ruta;
R4H;GCCCRES;RST;Canarias Ruta;
R4H;GCCCRES;RNE;Canarias Ruta;
R4H;GCCCRES;RCE;Canarias Ruta;
R5A;GCCCOCE;OCE;Canarias Ruta;
R5A;GCCCOCE;OCE;Canarias Ruta;
R5A;GCCCRCE;RCE;Canarias Ruta;
R5A;GCCCRCW;RCW;Canarias Ruta;
R5A;GCCCRNE;RNE;Canarias Ruta;
R5A;GCCCRWS;RNW;Canarias Ruta;
R5A;GCCCRWS;RWW;Canarias Ruta;
R5A;GCCCRWS;RST;Canarias Ruta;
R5C;GCCCCES;RST;Canarias Ruta;
R5C;GCCCCES;RCE;Canarias Ruta;
R5C;GCCCNWW;RNW;Canarias Ruta;
R5C;GCCCNWW;RWW;Canarias Ruta;
R5C;GCCCNWW;RNW;Canarias Ruta;
R5C;GCCCNWW;RWW;Canarias Ruta;
R5C;GCCCOCE;OCE;Canarias Ruta;
R5C;GCCCOCE;OCE;Canarias Ruta;
R5C;GCCCRCW;RCW;Canarias Ruta;
R5C;GCCCRNE;RNE;Canarias Ruta;
R5D;GCCCNWW;RNW;Canarias Ruta;
R5D;GCCCNWW;RWW;Canarias Ruta;
R5D;GCCCNWW;RWW;Canarias Ruta;
R5D;GCCCNWW;RNW;Canarias Ruta;
R5D;GCCCOCE;OCE;Canarias Ruta;
R5D;GCCCOCE;OCE;Canarias Ruta;
R5D;GCCCR2E;RNE;Canarias Ruta;
R5D;GCCCR2E;RST;Canarias Ruta;
R5D;GCCCRCE;RCE;Canarias Ruta;
R5D;GCCCRCW;RCW;Canarias Ruta;
