Sectorizacion;Sector;Volumen;Nucleo
4C;LECPGIM;IA24;Palma APP
4C;LECPGIM;IAX;Palma APP
4C;LECPGIM;IRX;Palma APP
4C;LECPGIM;MXX;Palma APP
4D;LECP12O;DE1;Palma APP
4D;LECP12O;DE2;Palma APP
4D;LECP12O;DSX;Palma APP
4D;LECP12O;DW1;Palma APP
4D;LECP12O;DW2;Palma APP
4D;LECP12O;LNX;Palma APP
4D;LECP12O;LSX;Palma APP
4D;LECP12O;OXX;Palma APP
4D;LECPAPP;APP;Palma APP
4D;LECPGIX;GXX;Palma APP
4D;LECPGIX;IA06;Palma APP
4D;LECPGIX;IA24;Palma APP
4D;LECPGIX;IAX;Palma APP
4D;LECPGIX;IRX;Palma APP
4D;LECPMXX;MXX;Palma APP
4E;LECPAPR;APP;Palma APP
4E;LECPAPR;DE1;Palma APP
4E;LECPAPR;DE2;Palma APP
4E;LECPAPR;DSX;Palma APP
4E;LECPAPR;DW1;Palma APP
4E;LECPAPR;DW2;Palma APP
4E;LECPAPR;LNX;Palma APP
4E;LECPAPR;LSX;Palma APP
4E;LECPGOX;GXX;Palma APP
4E;LECPGOX;OXX;Palma APP
4E;LECPIXX;IA06;Palma APP
4E;LECPIXX;IA24;Palma APP
4E;LECPIXX;IAX;Palma APP
4E;LECPIXX;IRX;Palma APP
4E;LECPMXX;MXX;Palma APP
4F;LECPAPP;APP;Palma APP
4F;LECPF12;DE1;Palma APP
4F;LECPF12;DE2;Palma APP
4F;LECPF12;DSX;Palma APP
4F;LECPF12;DW1;Palma APP
4F;LECPF12;DW2;Palma APP
4F;LECPF12;LNX;Palma APP
4F;LECPF12;LSX;Palma APP
4F;LECPGOM;GXX;Palma APP
4F;LECPGOM;MXX;Palma APP
4F;LECPGOM;OXX;Palma APP
4F;LECPIXX;IA06;Palma APP
4F;LECPIXX;IA24;Palma APP
4F;LECPIXX;IAX;Palma APP
4F;LECPIXX;IRX;Palma APP
4G;LECP12O;DE1;Palma APP
4G;LECP12O;DE2;Palma APP
4G;LECP12O;DSX;Palma APP
4G;LECP12O;DW1;Palma APP
4G;LECP12O;DW2;Palma APP
4G;LECP12O;LNX;Palma APP
4G;LECP12O;LSX;Palma APP
4G;LECP12O;OXX;Palma APP
4G;LECPAPP;APP;Palma APP
4G;LECPGMX;GXX;Palma APP
4G;LECPGMX;MXX;Palma APP
4G;LECPIXX;IA06;Palma APP
4G;LECPIXX;IA24;Palma APP
4G;LECPIXX;IAX;Palma APP
4G;LECPIXX;IRX;Palma APP
4H;LECPAPP;APP;Palma APP
4H;LECPF1X;DE1;Palma APP
4H;LECPF1X;DW1;Palma APP
4H;LECPF1X;LNX;Palma APP
4H;LECPF2M;DE2;Palma APP
4H;LECPF2M;DSX;Palma APP
4H;LECPF2M;DW2;Palma APP
4H;LECPF2M;LSX;Palma APP
4H;LECPF2M;MXX;Palma APP
4H;LECPGIO;GXX;Palma APP
4H;LECPGIO;IA06;Palma APP
4H;LECPGIO;IA24;Palma APP
4H;LECPGIO;IAX;Palma APP
4H;LECPGIO;IRX;Palma APP
4H;LECPGIO;OXX;Palma APP
4I;LECPAPP;APP;Palma APP
4I;LECPF1O;DE1;Palma APP
4I;LECPF1O;DW1;Palma APP
4I;LECPF1O;LNX;Palma APP
4I;LECPF1O;OXX;Palma APP
4I;LECPF2M;DE2;Palma APP
4I;LECPF2M;DSX;Palma APP
4I;LECPF2M;DW2;Palma APP
4I;LECPF2M;LSX;Palma APP
4I;LECPF2M;MXX;Palma APP
4I;LECPGIX;GXX;Palma APP
4I;LECPGIX;IA06;Palma APP
4I;LECPGIX;IA24;Palma APP
4I;LECPGIX;IAX;Palma APP
4I;LECPGIX;IRX;Palma APP
5A;LECPAPP;APP;Palma APP
5A;LECPF12;DE1;Palma APP
5A;LECPF12;DE2;Palma APP
5A;LECPF12;DSX;Palma APP
5A;LECPF12;DW1;Palma APP
5A;LECPF12;DW2;Palma APP
5A;LECPF12;LNX;Palma APP
5A;LECPF12;LSX;Palma APP
5A;LECPGOX;GXX;Palma APP
5A;LECPGOX;OXX;Palma APP
5A;LECPIXX;IA06;Palma APP
5A;LECPIXX;IA24;Palma APP
5A;LECPIXX;IAX;Palma APP
5A;LECPIXX;IRX;Palma APP
5A;LECPMXX;MXX;Palma APP
5B;LECP12O;DE1;Palma APP
5B;LECP12O;DE2;Palma APP
5B;LECP12O;DSX;Palma APP
5B;LECP12O;DW1;Palma APP
5B;LECP12O;DW2;Palma APP
5B;LECP12O;LNX;Palma APP
5B;LECP12O;LSX;Palma APP
5B;LECP12O;OXX;Palma APP
5B;LECPAPP;APP;Palma APP
5B;LECPGXX;GXX;Palma APP
5B;LECPIXX;IA06;Palma APP
5B;LECPIXX;IA24;Palma APP
5B;LECPIXX;IAX;Palma APP
5B;LECPIXX;IRX;Palma APP
5B;LECPMXX;MXX;Palma APP
5C;LECPAPP;APP;Palma APP
5C;LECPF1X;DE1;Palma APP
5C;LECPF1X;DW1;Palma APP
5C;LECPF1X;LNX;Palma APP
5C;LECPF2X;DE2;Palma APP
5C;LECPF2X;DSX;Palma APP
5C;LECPF2X;DW2;Palma APP
5C;LECPF2X;LSX;Palma APP
5C;LECPGOM;GXX;Palma APP
5C;LECPGOM;MXX;Palma APP
5C;LECPGOM;OXX;Palma APP
5C;LECPIXX;IA06;Palma APP
5C;LECPIXX;IA24;Palma APP
5C;LECPIXX;IAX;Palma APP
5C;LECPIXX;IRX;Palma APP
