Sectorizacion;Sector;Volumen;Ruta
3B;LECBMNI;MNU;Barcelona Ruta Este
3B;LECBVMS;MMS;Barcelona Ruta Este
3B;LECBVMS;VNI;Barcelona Ruta Este
3B;LECBVMS;VVS;Barcelona Ruta Este
3C;LECBCCC;CCL;Barcelona Ruta Este
3C;LECBCCC;CCU;Barcelona Ruta Este
3C;LECBMVS;MMS;Barcelona Ruta Este
3C;LECBMVS;MNL;Barcelona Ruta Este
3C;LECBMVS;MNU;Barcelona Ruta Este
3C;LECBMVS;VVS;Barcelona Ruta Este
3C;LECBVNI;VNI;Barcelona Ruta Este
3D;LECBBAS;MMS;Barcelona Ruta Este
3D;LECBBAS;VVS;Barcelona Ruta Este
3D;LECBCVN;CCL;Barcelona Ruta Este
3D;LECBCVN;CCU;Barcelona Ruta Este
3D;LECBCVN;VNI;Barcelona Ruta Este
3D;LECBMNI;MNL;Barcelona Ruta Este
3D;LECBMNI;MNU;Barcelona Ruta Este
3E;LECBBAS;MMS;Barcelona Ruta Este
3E;LECBBAS;VVS;Barcelona Ruta Este
3E;LECBCCC;CCL;Barcelona Ruta Este
3E;LECBCCC;CCU;Barcelona Ruta Este
3E;LECBVMN;MNL;Barcelona Ruta Este
3E;LECBVMN;MNU;Barcelona Ruta Este
3E;LECBVMN;VNI;Barcelona Ruta Este
4A;LECBBAS;MMS;Barcelona Ruta Este
4A;LECBBAS;VVS;Barcelona Ruta Este
4A;LECBCCC;CCL;Barcelona Ruta Este
4A;LECBCCC;CCU;Barcelona Ruta Este
4A;LECBMNI;MNL;Barcelona Ruta Este
4A;LECBMNI;MNU;Barcelona Ruta Este
4A;LECBVNI;VNI;Barcelona Ruta Este
4B;LECBBAS;MMS;Barcelona Ruta Este
4B;LECBBAS;VVS;Barcelona Ruta Este
4B;LECBCVN;CCL;Barcelona Ruta Este
4B;LECBCVN;CCU;Barcelona Ruta Este
4B;LECBCVN;VNI;Barcelona Ruta Este
4B;LECBMNL;MNL;Barcelona Ruta Este
4B;LECBMNU;MNU;Barcelona Ruta Este
4C;LECBCCC;CCL;Barcelona Ruta Este
4C;LECBCCC;CCU;Barcelona Ruta Este
4C;LECBMNL;MNL;Barcelona Ruta Este
4C;LECBMNU;MNU;Barcelona Ruta Este
4C;LECBVMS;MMS;Barcelona Ruta Este
4C;LECBVMS;VNI;Barcelona Ruta Este
4C;LECBVMS;VVS;Barcelona Ruta Este
4D;LECBCCC;CCL;Barcelona Ruta Este
4D;LECBCCC;CCU;Barcelona Ruta Este
4D;LECBMMI;MMS;Barcelona Ruta Este
4D;LECBMMI;MNL;Barcelona Ruta Este
4D;LECBMMI;MNU;Barcelona Ruta Este
4D;LECBVNI;VNI;Barcelona Ruta Este
4D;LECBVVS;VVS;Barcelona Ruta Este
4E;LECBCCL;CCL;Barcelona Ruta Este
4E;LECBCCU;CCU;Barcelona Ruta Este
4E;LECBMMI;MMS;Barcelona Ruta Este
4E;LECBMMI;MNL;Barcelona Ruta Este
4E;LECBMMI;MNU;Barcelona Ruta Este
4E;LECBVVI;VNI;Barcelona Ruta Este
4E;LECBVVI;VVS;Barcelona Ruta Este
4F;LECBBAS;MMS;Barcelona Ruta Este
4F;LECBBAS;VVS;Barcelona Ruta Este
4F;LECBCCL;CCL;Barcelona Ruta Este
4F;LECBCCU;CCU;Barcelona Ruta Este
4F;LECBVMN;MNL;Barcelona Ruta Este
4F;LECBVMN;MNU;Barcelona Ruta Este
4F;LECBVMN;VNI;Barcelona Ruta Este
4G;LECBCCL;CCL;Barcelona Ruta Este
4G;LECBCCU;CCU;Barcelona Ruta Este
4G;LECBMVS;MMS;Barcelona Ruta Este
4G;LECBMVS;MNL;Barcelona Ruta Este
4G;LECBMVS;MNU;Barcelona Ruta Este
4G;LECBMVS;VVS;Barcelona Ruta Este
4G;LECBVNI;VNI;Barcelona Ruta Este
5A;LECBBAS;MMS;Barcelona Ruta Este
5A;LECBBAS;VVS;Barcelona Ruta Este
5A;LECBCCC;CCL;Barcelona Ruta Este
5A;LECBCCC;CCU;Barcelona Ruta Este
5A;LECBMNL;MNL;Barcelona Ruta Este
5A;LECBMNU;MNU;Barcelona Ruta Este
5A;LECBVNI;VNI;Barcelona Ruta Este
5B;LECBCCC;CCL;Barcelona Ruta Este
5B;LECBCCC;CCU;Barcelona Ruta Este
5B;LECBMNL;MNL;Barcelona Ruta Este
5B;LECBMUS;MMS;Barcelona Ruta Este
5B;LECBMUS;MNU;Barcelona Ruta Este
5B;LECBVNI;VNI;Barcelona Ruta Este
5B;LECBVVS;VVS;Barcelona Ruta Este
5C;LECBBAS;MMS;Barcelona Ruta Este
5C;LECBBAS;VVS;Barcelona Ruta Este
5C;LECBCCL;CCL;Barcelona Ruta Este
5C;LECBCCU;CCU;Barcelona Ruta Este
5C;LECBMNI;MNL;Barcelona Ruta Este
5C;LECBMNI;MNU;Barcelona Ruta Este
5C;LECBVNI;VNI;Barcelona Ruta Este
5D;LECBCCL;CCL;Barcelona Ruta Este
5D;LECBCCU;CCU;Barcelona Ruta Este
5D;LECBMNL;MNL;Barcelona Ruta Este
5D;LECBMNU;MNU;Barcelona Ruta Este
5D;LECBVMS;MMS;Barcelona Ruta Este
5D;LECBVMS;VNI;Barcelona Ruta Este
5D;LECBVMS;VVS;Barcelona Ruta Este
5E;LECBCCC;CCL;Barcelona Ruta Este
5E;LECBCCC;CCU;Barcelona Ruta Este
5E;LECBMLS;MMS;Barcelona Ruta Este
5E;LECBMLS;MNL;Barcelona Ruta Este
5E;LECBMNU;MNU;Barcelona Ruta Este
5E;LECBVNI;VNI;Barcelona Ruta Este
5E;LECBVVS;VVS;Barcelona Ruta Este
5F;LECBCCL;CCL;Barcelona Ruta Este
5F;LECBCCU;CCU;Barcelona Ruta Este
5F;LECBMMI;MMS;Barcelona Ruta Este
5F;LECBMMI;MNL;Barcelona Ruta Este
5F;LECBMMI;MNU;Barcelona Ruta Este
5F;LECBVNI;VNI;Barcelona Ruta Este
5F;LECBVVS;VVS;Barcelona Ruta Este
6A;LECBBAS;MMS;Barcelona Ruta Este
6A;LECBBAS;VVS;Barcelona Ruta Este
6A;LECBCCL;CCL;Barcelona Ruta Este
6A;LECBCCU;CCU;Barcelona Ruta Este
6A;LECBMNL;MNL;Barcelona Ruta Este
6A;LECBMNU;MNU;Barcelona Ruta Este
6A;LECBVNI;VNI;Barcelona Ruta Este
6B;LECBCCL;CCL;Barcelona Ruta Este
6B;LECBCCU;CCU;Barcelona Ruta Este
6B;LECBMNL;MNL;Barcelona Ruta Este
6B;LECBMUS;MMS;Barcelona Ruta Este
6B;LECBMUS;MNU;Barcelona Ruta Este
6B;LECBVNI;VNI;Barcelona Ruta Este
6B;LECBVVS;VVS;Barcelona Ruta Este
6C;LECBCCL;CCL;Barcelona Ruta Este
6C;LECBCCU;CCU;Barcelona Ruta Este
6C;LECBMLS;MMS;Barcelona Ruta Este
6C;LECBMLS;MNL;Barcelona Ruta Este
6C;LECBMNU;MNU;Barcelona Ruta Este
6C;LECBVNI;VNI;Barcelona Ruta Este
6C;LECBVVS;VVS;Barcelona Ruta Este
1A;LECBBKW;BND;Barcelona Ruta Oeste
1A;LECBBKW;G1R;Barcelona Ruta Oeste
1A;LECBBKW;GO2;Barcelona Ruta Oeste
1A;LECBBKW;GO3;Barcelona Ruta Oeste
1A;LECBBKW;GTL;Barcelona Ruta Oeste
1A;LECBBKW;LAG;Barcelona Ruta Oeste
1A;LECBBKW;LVL;Barcelona Ruta Oeste
1A;LECBBKW;LVU;Barcelona Ruta Oeste
1A;LECBBKW;P2R;Barcelona Ruta Oeste
2A;LECBLLI;GTL;Barcelona Ruta Oeste
2A;LECBLLI;LAG;Barcelona Ruta Oeste
2A;LECBLLI;LVL;Barcelona Ruta Oeste
2A;LECBLLI;LVU;Barcelona Ruta Oeste
2A;LECBPPI;BND;Barcelona Ruta Oeste
2A;LECBPPI;G1R;Barcelona Ruta Oeste
2A;LECBPPI;GO2;Barcelona Ruta Oeste
2A;LECBPPI;GO3;Barcelona Ruta Oeste
2A;LECBPPI;P2R;Barcelona Ruta Oeste
3A;LECBLGL;GTL;Barcelona Ruta Oeste
3A;LECBLGL;LVL;Barcelona Ruta Oeste
3A;LECBLGU;LAG;Barcelona Ruta Oeste
3A;LECBLGU;LVU;Barcelona Ruta Oeste
3A;LECBPPI;BND;Barcelona Ruta Oeste
3A;LECBPPI;G1R;Barcelona Ruta Oeste
3A;LECBPPI;GO2;Barcelona Ruta Oeste
3A;LECBPPI;GO3;Barcelona Ruta Oeste
3A;LECBPPI;P2R;Barcelona Ruta Oeste
3B;LECBGOI;BND;Barcelona Ruta Oeste
3B;LECBGOI;G1R;Barcelona Ruta Oeste
3B;LECBGOI;GO2;Barcelona Ruta Oeste
3B;LECBGOI;GO3;Barcelona Ruta Oeste
3B;LECBLLI;GTL;Barcelona Ruta Oeste
3B;LECBLLI;LAG;Barcelona Ruta Oeste
3B;LECBLLI;LVL;Barcelona Ruta Oeste
3B;LECBLLI;LVU;Barcelona Ruta Oeste
3B;LECBP2R;P2R;Barcelona Ruta Oeste
4A;LECBGOI;BND;Barcelona Ruta Oeste
4A;LECBGOI;G1R;Barcelona Ruta Oeste
4A;LECBGOI;GO2;Barcelona Ruta Oeste
4A;LECBGOI;GO3;Barcelona Ruta Oeste
4A;LECBLGL;GTL;Barcelona Ruta Oeste
4A;LECBLGL;LVL;Barcelona Ruta Oeste
4A;LECBLGU;LAG;Barcelona Ruta Oeste
4A;LECBLGU;LVU;Barcelona Ruta Oeste
4A;LECBP2R;P2R;Barcelona Ruta Oeste
4C;LECBG23;GO2;Barcelona Ruta Oeste
4C;LECBG23;GO3;Barcelona Ruta Oeste
4C;LECBGO1;BND;Barcelona Ruta Oeste
4C;LECBGO1;G1R;Barcelona Ruta Oeste
4C;LECBLLI;GTL;Barcelona Ruta Oeste
4C;LECBLLI;LAG;Barcelona Ruta Oeste
4C;LECBLLI;LVL;Barcelona Ruta Oeste
4C;LECBLLI;LVU;Barcelona Ruta Oeste
4C;LECBP2R;P2R;Barcelona Ruta Oeste
4D;LECBG12;BND;Barcelona Ruta Oeste
4D;LECBG12;G1R;Barcelona Ruta Oeste
4D;LECBG12;GO2;Barcelona Ruta Oeste
4D;LECBGO3;GO3;Barcelona Ruta Oeste
4D;LECBLLI;GTL;Barcelona Ruta Oeste
4D;LECBLLI;LAG;Barcelona Ruta Oeste
4D;LECBLLI;LVL;Barcelona Ruta Oeste
4D;LECBLLI;LVU;Barcelona Ruta Oeste
4D;LECBP2R;P2R;Barcelona Ruta Oeste
4F;LECBLVL;LVL;Barcelona Ruta Oeste
4F;LECBLVS;GTL;Barcelona Ruta Oeste
4F;LECBLVS;LAG;Barcelona Ruta Oeste
4F;LECBLVU;LVU;Barcelona Ruta Oeste
4F;LECBPPI;BND;Barcelona Ruta Oeste
4F;LECBPPI;G1R;Barcelona Ruta Oeste
4F;LECBPPI;GO2;Barcelona Ruta Oeste
4F;LECBPPI;GO3;Barcelona Ruta Oeste
4F;LECBPPI;P2R;Barcelona Ruta Oeste
5A;LECBGOI;BND;Barcelona Ruta Oeste
5A;LECBGOI;G1R;Barcelona Ruta Oeste
5A;LECBGOI;GO2;Barcelona Ruta Oeste
5A;LECBGOI;GO3;Barcelona Ruta Oeste
5A;LECBLVL;LVL;Barcelona Ruta Oeste
5A;LECBLVS;GTL;Barcelona Ruta Oeste
5A;LECBLVS;LAG;Barcelona Ruta Oeste
5A;LECBLVU;LVU;Barcelona Ruta Oeste
5A;LECBP2R;P2R;Barcelona Ruta Oeste
5C;LECBG23;GO2;Barcelona Ruta Oeste
5C;LECBG23;GO3;Barcelona Ruta Oeste
5C;LECBGO1;BND;Barcelona Ruta Oeste
5C;LECBGO1;G1R;Barcelona Ruta Oeste
5C;LECBLGL;GTL;Barcelona Ruta Oeste
5C;LECBLGL;LVL;Barcelona Ruta Oeste
5C;LECBLGU;LAG;Barcelona Ruta Oeste
5C;LECBLGU;LVU;Barcelona Ruta Oeste
5C;LECBP2R;P2R;Barcelona Ruta Oeste
5E;LECBG12;BND;Barcelona Ruta Oeste
5E;LECBG12;G1R;Barcelona Ruta Oeste
5E;LECBG12;GO2;Barcelona Ruta Oeste
5E;LECBGO3;GO3;Barcelona Ruta Oeste
5E;LECBLGL;GTL;Barcelona Ruta Oeste
5E;LECBLGL;LVL;Barcelona Ruta Oeste
5E;LECBLGU;LAG;Barcelona Ruta Oeste
5E;LECBLGU;LVU;Barcelona Ruta Oeste
5E;LECBP2R;P2R;Barcelona Ruta Oeste
5F;LECBGO1;BND;Barcelona Ruta Oeste
5F;LECBGO1;G1R;Barcelona Ruta Oeste
5F;LECBGO2;GO2;Barcelona Ruta Oeste
5F;LECBGO3;GO3;Barcelona Ruta Oeste
5F;LECBLLI;GTL;Barcelona Ruta Oeste
5F;LECBLLI;LAG;Barcelona Ruta Oeste
5F;LECBLLI;LVL;Barcelona Ruta Oeste
5F;LECBLLI;LVU;Barcelona Ruta Oeste
5F;LECBP2R;P2R;Barcelona Ruta Oeste
6A;LECBG23;GO2;Barcelona Ruta Oeste
6A;LECBG23;GO3;Barcelona Ruta Oeste
6A;LECBGO1;BND;Barcelona Ruta Oeste
6A;LECBGO1;G1R;Barcelona Ruta Oeste
6A;LECBLVL;LVL;Barcelona Ruta Oeste
6A;LECBLVS;GTL;Barcelona Ruta Oeste
6A;LECBLVS;LAG;Barcelona Ruta Oeste
6A;LECBLVU;LVU;Barcelona Ruta Oeste
6A;LECBP2R;P2R;Barcelona Ruta Oeste
6C;LECBG12;BND;Barcelona Ruta Oeste
6C;LECBG12;G1R;Barcelona Ruta Oeste
6C;LECBG12;GO2;Barcelona Ruta Oeste
6C;LECBGO3;GO3;Barcelona Ruta Oeste
6C;LECBLVL;LVL;Barcelona Ruta Oeste
6C;LECBLVS;GTL;Barcelona Ruta Oeste
6C;LECBLVS;LAG;Barcelona Ruta Oeste
6C;LECBLVU;LVU;Barcelona Ruta Oeste
6C;LECBP2R;P2R;Barcelona Ruta Oeste
6D;LECBGO1;BND;Barcelona Ruta Oeste
6D;LECBGO1;G1R;Barcelona Ruta Oeste
6D;LECBGO2;GO2;Barcelona Ruta Oeste
6D;LECBGO3;GO3;Barcelona Ruta Oeste
6D;LECBLGL;GTL;Barcelona Ruta Oeste
6D;LECBLGL;LVL;Barcelona Ruta Oeste
6D;LECBLGU;LAG;Barcelona Ruta Oeste
6D;LECBLGU;LVU;Barcelona Ruta Oeste
6D;LECBP2R;P2R;Barcelona Ruta Oeste
7A;LECBGO1;BND;Barcelona Ruta Oeste
7A;LECBGO1;G1R;Barcelona Ruta Oeste
7A;LECBGO2;GO2;Barcelona Ruta Oeste
7A;LECBGO3;GO3;Barcelona Ruta Oeste
7A;LECBLVL;LVL;Barcelona Ruta Oeste
7A;LECBLVS;GTL;Barcelona Ruta Oeste
7A;LECBLVS;LAG;Barcelona Ruta Oeste
7A;LECBLVU;LVU;Barcelona Ruta Oeste
7A;LECBP2R;P2R;Barcelona Ruta Oeste
1;LEBLALB;BL1;Barcelona TMA
1;LEBLALB;BL2;Barcelona TMA
1;LEBLALB;DDN;Barcelona TMA
1;LEBLALB;DDS;Barcelona TMA
1;LEBLALB;FEL;Barcelona TMA
1;LEBLALB;FEN;Barcelona TMA
1;LEBLALB;FER;Barcelona TMA
1;LEBLALB;FES;Barcelona TMA
1;LEBLALB;FWL;Barcelona TMA
1;LEBLALB;FWR;Barcelona TMA
1;LEBLALB;GARI;Barcelona TMA
1;LEBLALB;GONA;Barcelona TMA
1;LEBLALB;GR1;Barcelona TMA
1;LEBLALB;GR2;Barcelona TMA
1;LEBLALB;GR3;Barcelona TMA
1;LEBLALB;NW4;Barcelona TMA
1;LEBLALB;SABA;Barcelona TMA
1;LEBLALB;SW3;Barcelona TMA
1;LEBLALB;VIBI;Barcelona TMA
1;LEBLALB;XAR;Barcelona TMA
2AE;LEB34FDE;DDN;Barcelona TMA
2AE;LEB34FDE;DDS;Barcelona TMA
2AE;LEB34FDE;FEL;Barcelona TMA
2AE;LEB34FDE;FEN;Barcelona TMA
2AE;LEB34FDE;FER;Barcelona TMA
2AE;LEB34FDE;FES;Barcelona TMA
2AE;LEB34FDE;GONA;Barcelona TMA
2AE;LEB34FDE;NW4;Barcelona TMA
2AE;LEB34FDE;SABA;Barcelona TMA
2AE;LEB34FDE;SW3;Barcelona TMA
2AE;LEB34FDE;VIBI;Barcelona TMA
2AE;LEBL12XE;BL1;Barcelona TMA
2AE;LEBL12XE;BL2;Barcelona TMA
2AE;LEBL12XE;FWL;Barcelona TMA
2AE;LEBL12XE;FWR;Barcelona TMA
2AE;LEBL12XE;GARI;Barcelona TMA
2AE;LEBL12XE;GR1;Barcelona TMA
2AE;LEBL12XE;GR2;Barcelona TMA
2AE;LEBL12XE;GR3;Barcelona TMA
2AE;LEBL12XE;XAR;Barcelona TMA
2AN;LEB34FDN;DDN;Barcelona TMA
2AN;LEB34FDN;DDS;Barcelona TMA
2AN;LEB34FDN;FEL;Barcelona TMA
2AN;LEB34FDN;FEN;Barcelona TMA
2AN;LEB34FDN;FER;Barcelona TMA
2AN;LEB34FDN;FES;Barcelona TMA
2AN;LEB34FDN;GONA;Barcelona TMA
2AN;LEB34FDN;NW4;Barcelona TMA
2AN;LEB34FDN;SW3;Barcelona TMA
2AN;LEBL12XN;BL1;Barcelona TMA
2AN;LEBL12XN;BL2;Barcelona TMA
2AN;LEBL12XN;FWL;Barcelona TMA
2AN;LEBL12XN;FWR;Barcelona TMA
2AN;LEBL12XN;GARI;Barcelona TMA
2AN;LEBL12XN;GR1;Barcelona TMA
2AN;LEBL12XN;GR2;Barcelona TMA
2AN;LEBL12XN;GR3;Barcelona TMA
2AN;LEBL12XN;SABA;Barcelona TMA
2AN;LEBL12XN;VIBI;Barcelona TMA
2AN;LEBL12XN;XAR;Barcelona TMA
2AW;LEB12FXW;BL1;Barcelona TMA
2AW;LEB12FXW;BL2;Barcelona TMA
2AW;LEB12FXW;FWL;Barcelona TMA
2AW;LEB12FXW;FWR;Barcelona TMA
2AW;LEB12FXW;GR1;Barcelona TMA
2AW;LEB12FXW;GR2;Barcelona TMA
2AW;LEB12FXW;GR3;Barcelona TMA
2AW;LEB12FXW;SABA;Barcelona TMA
2AW;LEB12FXW;VIBI;Barcelona TMA
2AW;LEB12FXW;XAR;Barcelona TMA
2AW;LEBL34DW;DDN;Barcelona TMA
2AW;LEBL34DW;DDS;Barcelona TMA
2AW;LEBL34DW;FEL;Barcelona TMA
2AW;LEBL34DW;FEN;Barcelona TMA
2AW;LEBL34DW;FER;Barcelona TMA
2AW;LEBL34DW;FES;Barcelona TMA
2AW;LEBL34DW;GARI;Barcelona TMA
2AW;LEBL34DW;GONA;Barcelona TMA
2AW;LEBL34DW;NW4;Barcelona TMA
2AW;LEBL34DW;SW3;Barcelona TMA
2BE;L1234DXE;BL1;Barcelona TMA
2BE;L1234DXE;BL2;Barcelona TMA
2BE;L1234DXE;DDN;Barcelona TMA
2BE;L1234DXE;DDS;Barcelona TMA
2BE;L1234DXE;FES;Barcelona TMA
2BE;L1234DXE;FWL;Barcelona TMA
2BE;L1234DXE;FWR;Barcelona TMA
2BE;L1234DXE;GARI;Barcelona TMA
2BE;L1234DXE;GONA;Barcelona TMA
2BE;L1234DXE;GR1;Barcelona TMA
2BE;L1234DXE;GR2;Barcelona TMA
2BE;L1234DXE;GR3;Barcelona TMA
2BE;L1234DXE;NW4;Barcelona TMA
2BE;L1234DXE;SABA;Barcelona TMA
2BE;L1234DXE;SW3;Barcelona TMA
2BE;L1234DXE;VIBI;Barcelona TMA
2BE;L1234DXE;XAR;Barcelona TMA
2BE;LEBLF07;FEL;Barcelona TMA
2BE;LEBLF07;FEN;Barcelona TMA
2BE;LEBLF07;FER;Barcelona TMA
2BN;L1234DXN;BL1;Barcelona TMA
2BN;L1234DXN;BL2;Barcelona TMA
2BN;L1234DXN;DDN;Barcelona TMA
2BN;L1234DXN;DDS;Barcelona TMA
2BN;L1234DXN;FEL;Barcelona TMA
2BN;L1234DXN;FER;Barcelona TMA
2BN;L1234DXN;FWL;Barcelona TMA
2BN;L1234DXN;FWR;Barcelona TMA
2BN;L1234DXN;GARI;Barcelona TMA
2BN;L1234DXN;GONA;Barcelona TMA
2BN;L1234DXN;GR1;Barcelona TMA
2BN;L1234DXN;GR2;Barcelona TMA
2BN;L1234DXN;GR3;Barcelona TMA
2BN;L1234DXN;NW4;Barcelona TMA
2BN;L1234DXN;SABA;Barcelona TMA
2BN;L1234DXN;SW3;Barcelona TMA
2BN;L1234DXN;VIBI;Barcelona TMA
2BN;L1234DXN;XAR;Barcelona TMA
2BN;LEBLF02;FEN;Barcelona TMA
2BN;LEBLF02;FES;Barcelona TMA
2BW;L1234DXW;BL1;Barcelona TMA
2BW;L1234DXW;BL2;Barcelona TMA
2BW;L1234DXW;DDN;Barcelona TMA
2BW;L1234DXW;DDS;Barcelona TMA
2BW;L1234DXW;FEL;Barcelona TMA
2BW;L1234DXW;FEN;Barcelona TMA
2BW;L1234DXW;FER;Barcelona TMA
2BW;L1234DXW;FES;Barcelona TMA
2BW;L1234DXW;GARI;Barcelona TMA
2BW;L1234DXW;GONA;Barcelona TMA
2BW;L1234DXW;GR1;Barcelona TMA
2BW;L1234DXW;GR2;Barcelona TMA
2BW;L1234DXW;GR3;Barcelona TMA
2BW;L1234DXW;NW4;Barcelona TMA
2BW;L1234DXW;SABA;Barcelona TMA
2BW;L1234DXW;SW3;Barcelona TMA
2BW;L1234DXW;VIBI;Barcelona TMA
2BW;L1234DXW;XAR;Barcelona TMA
2BW;LEBLF25;FWL;Barcelona TMA
2BW;LEBLF25;FWR;Barcelona TMA
2CO;LEBLCORE;BL1;Barcelona TMA
2CO;LEBLCORE;BL2;Barcelona TMA
2CO;LEBLCORE;FEL;Barcelona TMA
2CO;LEBLCORE;FEN;Barcelona TMA
2CO;LEBLCORE;FER;Barcelona TMA
2CO;LEBLCORE;FES;Barcelona TMA
2CO;LEBLCORE;FWL;Barcelona TMA
2CO;LEBLCORE;FWR;Barcelona TMA
2CO;LEBLCORE;GARI;Barcelona TMA
2CO;LEBLCORE;GONA;Barcelona TMA
2CO;LEBLCORE;GR1;Barcelona TMA
2CO;LEBLCORE;GR2;Barcelona TMA
2CO;LEBLCORE;NW4;Barcelona TMA
2CO;LEBLCORE;SABA;Barcelona TMA
2CO;LEBLCORE;SW3;Barcelona TMA
2CO;LEBLCORE;VIBI;Barcelona TMA
2CO;LEBLDDX;DDN;Barcelona TMA
2CO;LEBLDDX;DDS;Barcelona TMA
2CO;LEBLDDX;GR3;Barcelona TMA
2CO;LEBLDDX;XAR;Barcelona TMA
3AE;LEBL12XE;BL1;Barcelona TMA
3AE;LEBL12XE;BL2;Barcelona TMA
3AE;LEBL12XE;FWL;Barcelona TMA
3AE;LEBL12XE;FWR;Barcelona TMA
3AE;LEBL12XE;GARI;Barcelona TMA
3AE;LEBL12XE;GR1;Barcelona TMA
3AE;LEBL12XE;GR2;Barcelona TMA
3AE;LEBL12XE;GR3;Barcelona TMA
3AE;LEBL12XE;XAR;Barcelona TMA
3AE;LEBL3FIE;FEL;Barcelona TMA
3AE;LEBL3FIE;FEN;Barcelona TMA
3AE;LEBL3FIE;FER;Barcelona TMA
3AE;LEBL3FIE;FES;Barcelona TMA
3AE;LEBL3FIE;SW3;Barcelona TMA
3AE;LEBL3FIE;VIBI;Barcelona TMA
3AE;LEBL4DDE;DDN;Barcelona TMA
3AE;LEBL4DDE;DDS;Barcelona TMA
3AE;LEBL4DDE;GONA;Barcelona TMA
3AE;LEBL4DDE;NW4;Barcelona TMA
3AE;LEBL4DDE;SABA;Barcelona TMA
3AN;LEBL12XN;BL1;Barcelona TMA
3AN;LEBL12XN;BL2;Barcelona TMA
3AN;LEBL12XN;FWL;Barcelona TMA
3AN;LEBL12XN;FWR;Barcelona TMA
3AN;LEBL12XN;GARI;Barcelona TMA
3AN;LEBL12XN;GR1;Barcelona TMA
3AN;LEBL12XN;GR2;Barcelona TMA
3AN;LEBL12XN;GR3;Barcelona TMA
3AN;LEBL12XN;SABA;Barcelona TMA
3AN;LEBL12XN;VIBI;Barcelona TMA
3AN;LEBL12XN;XAR;Barcelona TMA
3AN;LEBL3FN;FEN;Barcelona TMA
3AN;LEBL3FN;FER;Barcelona TMA
3AN;LEBL3FN;FES;Barcelona TMA
3AN;LEBL3FN;SW3;Barcelona TMA
3AN;LEBL4DDN;DDN;Barcelona TMA
3AN;LEBL4DDN;DDS;Barcelona TMA
3AN;LEBL4DDN;FEL;Barcelona TMA
3AN;LEBL4DDN;GONA;Barcelona TMA
3AN;LEBL4DDN;NW4;Barcelona TMA
3AW;LEBL1FIW;BL1;Barcelona TMA
3AW;LEBL1FIW;FWL;Barcelona TMA
3AW;LEBL1FIW;FWR;Barcelona TMA
3AW;LEBL1FIW;GR1;Barcelona TMA
3AW;LEBL1FIW;SABA;Barcelona TMA
3AW;LEBL2XW;BL2;Barcelona TMA
3AW;LEBL2XW;GR2;Barcelona TMA
3AW;LEBL2XW;GR3;Barcelona TMA
3AW;LEBL2XW;VIBI;Barcelona TMA
3AW;LEBL2XW;XAR;Barcelona TMA
3AW;LEBL34DW;DDN;Barcelona TMA
3AW;LEBL34DW;DDS;Barcelona TMA
3AW;LEBL34DW;FEL;Barcelona TMA
3AW;LEBL34DW;FEN;Barcelona TMA
3AW;LEBL34DW;FER;Barcelona TMA
3AW;LEBL34DW;FES;Barcelona TMA
3AW;LEBL34DW;GARI;Barcelona TMA
3AW;LEBL34DW;GONA;Barcelona TMA
3AW;LEBL34DW;NW4;Barcelona TMA
3AW;LEBL34DW;SW3;Barcelona TMA
