[];LEMDAFN;LEMDAFS;LEMDAIN;LEMDAIS;LEMDALN;LEMDALS;LEMDAPN;LEMDAPS;LEMDARN;LEMDARS;LEMDATN;LEMDATS;LEMDDEN;LEMDDES;LEMDDIN;LEMDDIS;LEMDDNS;LEMDDWN;LEMDDWS;LEMDEAN;LEMDEAS;LEMDEDN;LEMDEDS;LEMDEIN;LEMDEIS;LEMDENN;LEMDENS;LEMDERN;LEMDERS;LEMDESN;LEMDESS;LEMDETN;LEMDEXN;LEMDEXS;LEMDREN;LEMDRES;LEMDRIN;LEMDRNN;LEMDRNS;LEMDRSN;LEMDRSS;LEMDRWN;LEMDRWS;LEMDTEN;LEMDTES;LEMDTNN;LEMDTNS;LEMDTSN;LEMDTSS;LEMDTWN;LEMDTWS;LEMDWAN;LEMDWAS;LEMDWDN;LEMDWDS;LEMDWIN;LEMDWIS;LEMDWNN;LEMDWNS;LEMDWRN;LEMDWRS;LEMDWSN;LEMDWSS;LEMDXWN;LECMASI;LECMASL;LECMASU;LECMBDI;LECMBDP;LECMBLI;LECMBLL;LECMBLU;LECMCJI;LECMCJL;LECMCJU;LECMCZI;LECMDGI;LECMDGL;LECMDGU;LECMDPI;LECMNWL;LECMPAI;LECMPAL;LECMPAU;LECMR1I;LECMR2I;LECMSAB;LECMSAI;LECMSAN;LECMSAU;LECMSEI;LECMSWI;LECMTCI;LECMTER;LECMTLI;LECMTLL;LECMTLU;LECMTZI;LECMZGZ;LECMZLM;LECMZMI;LECMZML;LECMZMU;LECMZTI;LECMZUM
LEMDETN;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDEXN;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDEXS;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDREN;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDRES;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDRIN;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDRNN;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDRNS;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDRSN;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDRSS;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDRWN;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDRWS;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDTEN;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDTES;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDTNN;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDTNS;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDTSN;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0;1;0;1;1;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDTSS;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDTWN;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDTWS;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDWAN;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEMDWAS;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
